make,fuel,Aspiration,Number of doors,Body style,Drive wheels,Engine location,Length,Width,Height,Cylinders,HP,Máx RPM,MpG City,MpG HW,Price
alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,four,111,5000,21,27,13495
alfa-romero,gas,std,two,convertible,rwd,front,168.8,64.1,48.8,four,111,5000,21,27,16500
alfa-romero,gas,std,two,hatchback,rwd,front,171.2,65.5,52.4,six,154,5000,19,26,16500
audi,gas,std,four,sedan,fwd,front,176.6,66.2,54.3,four,102,5500,24,30,13950
audi,gas,std,four,sedan,4wd,front,176.6,66.4,54.3,five,115,5500,18,22,17450
audi,gas,std,two,sedan,fwd,front,177.3,66.3,53.1,five,110,5500,19,25,15250
audi,gas,std,four,sedan,fwd,front,192.7,71.4,55.7,five,110,5500,19,25,17710
audi,gas,std,four,wagon,fwd,front,192.7,71.4,55.7,five,110,5500,19,25,18920
audi,gas,turbo,four,sedan,fwd,front,192.7,71.4,55.9,five,140,5500,17,20,23875
audi,gas,turbo,two,hatchback,4wd,front,178.2,67.9,52,five,160,5500,16,22,?
bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,four,101,5800,23,29,16430
bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,four,101,5800,23,29,16925
bmw,gas,std,two,sedan,rwd,front,176.8,64.8,54.3,six,121,4250,21,28,20970
bmw,gas,std,four,sedan,rwd,front,176.8,64.8,54.3,six,121,4250,21,28,21105
bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,six,121,4250,20,25,24565
bmw,gas,std,four,sedan,rwd,front,189,66.9,55.7,six,182,5400,16,22,30760
bmw,gas,std,two,sedan,rwd,front,193.8,67.9,53.7,six,182,5400,16,22,41315
bmw,gas,std,four,sedan,rwd,front,197,70.9,56.3,six,182,5400,15,20,36880
chevrolet,gas,std,two,hatchback,fwd,front,141.1,60.3,53.2,three,48,5100,47,53,5151
chevrolet,gas,std,two,hatchback,fwd,front,155.9,63.6,52,four,70,5400,38,43,6295
chevrolet,gas,std,four,sedan,fwd,front,158.8,63.6,52,four,70,5400,38,43,6575
dodge,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,four,68,5500,37,41,5572
dodge,gas,std,two,hatchback,fwd,front,157.3,63.8,50.8,four,68,5500,31,38,6377
dodge,gas,turbo,two,hatchback,fwd,front,157.3,63.8,50.8,four,102,5500,24,30,7957
